Total Score Interval,Total,Score Interval,EWR,Math,State,Year
400-590,27,200-290,30,88,Oklahoma,2022
1400-1600,1040,700-800,1317,1144,Oregon,2022
1200-1390,2623,600-690,2899,2244,Oregon,2022
1000-1190,3488,500-590,3121,3517,Oregon,2022
800-990,1892,400-490,1729,1938,Oregon,2022
600-790,293,300-390,267,487,Oregon,2022
400-590,4,200-290,7,10,Oregon,2022
1400-1600,352,700-800,463,423,Rhode Island,2022
1200-1390,1251,600-690,1521,1063,Rhode Island,2022
1000-1190,2759,500-590,2906,2754,Rhode Island,2022
800-990,3987,400-490,3783,3703,Rhode Island,2022
600-790,2240,300-390,1902,2571,Rhode Island,2022
400-590,78,200-290,92,153,Rhode Island,2022
1400-1600,2325,700-800,2975,2746,Colorado,2022
1200-1390,8462,600-690,9878,7741,Colorado,2022
1000-1190,16244,500-590,15982,15928,Colorado,2022
800-990,18855,400-490,18033,17422,Colorado,2022
600-790,6919,300-390,5923,8796,Colorado,2022
400-590,101,200-290,115,273,Colorado,2022
1400-1600,468,700-800,543,518,Missouri,2022
1200-1390,754,600-690,764,623,Missouri,2022
1000-1190,646,500-590,595,670,Missouri,2022
800-990,377,400-490,351,384,Missouri,2022
600-790,55,300-390,47,104,Missouri,2022
400-590,0,200-290,0,0,Missouri,2022
1400-1600,189,700-800,220,221,Utah,2022
1200-1390,357,600-690,338,291,Utah,2022
1000-1190,234,500-590,223,266,Utah,2022
800-990,94,400-490,91,84,Utah,2022
600-790,15,300-390,18,27,Utah,2022
400-590,1,200-290,0,0,Utah,2022
1400-1600,567,700-800,686,629,Tennessee,2022
1200-1390,1207,600-690,1351,925,Tennessee,2022
1000-1190,1184,500-590,1003,1273,Tennessee,2022
800-990,427,400-490,341,497,Tennessee,2022
600-790,74,300-390,78,131,Tennessee,2022
400-590,0,200-290,0,0,Tennessee,2022
1400-1600,373,700-800,440,396,Delaware,2022
1200-1390,1092,600-690,1366,947,Delaware,2022
1000-1190,2568,500-590,2630,2684,Delaware,2022
800-990,4074,400-490,3859,3764,Delaware,2022
600-790,2056,300-390,1836,2307,Delaware,2022
400-590,69,200-290,101,134,Delaware,2022
1400-1600,5473,700-800,5744,6263,Massachusetts,2022
1200-1390,10655,600-690,11841,9416,Massachusetts,2022
1000-1190,15171,500-590,14225,15340,Massachusetts,2022
800-990,10123,400-490,9763,9631,Massachusetts,2022
600-790,2096,300-390,1910,2805,Massachusetts,2022
400-590,58,200-290,93,121,Massachusetts,2022
1400-1600,458,700-800,478,570,Hawaii,2022
1200-1390,1143,600-690,1293,987,Hawaii,2022
1000-1190,1847,500-590,1794,1814,Hawaii,2022
800-990,1136,400-490,1026,1084,Hawaii,2022
600-790,118,300-390,110,246,Hawaii,2022
400-590,0,200-290,1,0,Hawaii,2022
1400-1600,259,700-800,283,252,Louisiana,2022
1200-1390,393,600-690,465,336,Louisiana,2022
1000-1190,396,500-590,350,414,Louisiana,2022
800-990,267,400-490,241,270,Louisiana,2022
600-790,59,300-390,35,101,Louisiana,2022
400-590,0,200-290,0,0,Louisiana,2022
1400-1600,189,700-800,206,206,Iowa,2022
1200-1390,314,600-690,329,282,Iowa,2022
1000-1190,320,500-590,303,306,Iowa,2022
800-990,150,400-490,134,172,Iowa,2022
600-790,22,300-390,24,29,Iowa,2022
400-590,1,200-290,0,0,Iowa,2022
1400-1600,26,700-800,30,29,Wyoming,2022
1200-1390,46,600-690,54,42,Wyoming,2022
1000-1190,36,500-590,23,36,Wyoming,2022
800-990,9,400-490,8,0,Wyoming,2022
600-790,2,300-390,4,0,Wyoming,2022
400-590,0,200-290,0,0,Wyoming,2022
1400-1600,1853,700-800,1892,2267,Ohio,2022
1200-1390,4493,600-690,4943,4222,Ohio,2022
1000-1190,6897,500-590,6588,6992,Ohio,2022
800-990,6763,400-490,6881,6187,Ohio,2022
600-790,3187,300-390,2864,3442,Ohio,2022
400-590,60,200-290,85,143,Ohio,2022
1400-1600,2859,700-800,3331,3304,North Carolina,2022
1200-1390,8064,600-690,8865,6921,North Carolina,2022
1000-1190,10880,500-590,9940,11085,North Carolina,2022
800-990,5750,400-490,5458,5757,North Carolina,2022
600-790,1088,300-390,1036,1531,North Carolina,2022
400-590,15,200-290,26,58,North Carolina,2022
1400-1600,5129,700-800,5791,6125,Pennsylvania,2022
1200-1390,15343,600-690,17548,13557,Pennsylvania,2022
1000-1190,26879,500-590,25483,26832,Pennsylvania,2022
800-990,18314,400-490,17478,17467,Pennsylvania,2022
600-790,4281,300-390,3611,5829,Pennsylvania,2022
400-590,119,200-290,154,255,Pennsylvania,2022
1400-1600,246,700-800,282,281,Alabama,2022
1200-1390,493,600-690,588,369,Alabama,2022
1000-1190,603,500-590,557,615,Alabama,2022
800-990,377,400-490,315,386,Alabama,2022
600-790,88,300-390,64,153,Alabama,2022
400-590,0,200-290,1,0,Alabama,2022
1400-1600,184,700-800,279,198,Vermont,2022
1200-1390,728,600-690,806,601,Vermont,2022
1000-1190,1201,500-590,1111,1240,Vermont,2022
800-990,860,400-490,771,848,Vermont,2022
600-790,102,300-390,109,183,Vermont,2022
400-590,2,200-290,1,0,Vermont,2022
1400-1600,87,700-800,112,91,Mississippi,2022
1200-1390,154,600-690,161,125,Mississippi,2022
1000-1190,123,500-590,98,132,Mississippi,2022
800-990,44,400-490,41,55,Mississippi,2022
600-790,9,300-390,5,14,Mississippi,2022
400-590,0,200-290,0,0,Mississippi,2022
1400-1600,270,700-800,318,301,Nevada,2022
1200-1390,559,600-690,618,488,Nevada,2022
1000-1190,694,500-590,617,676,Nevada,2022
800-990,309,400-490,279,332,Nevada,2022
600-790,41,300-390,41,76,Nevada,2022
400-590,0,200-290,0,0,Nevada,2022
1400-1600,2634,700-800,2900,3049,Connecticut,2022
1200-1390,6238,600-690,7336,5426,Connecticut,2022
1000-1190,11040,500-590,11161,10750,Connecticut,2022
800-990,12868,400-490,12250,12190,Connecticut,2022
600-790,5933,300-390,5004,7087,Connecticut,2022
400-590,190,200-290,252,401,Connecticut,2022
1400-1600,91,700-800,90,102,Nebraska,2022
1200-1390,152,600-690,160,128,Nebraska,2022
1000-1190,106,500-590,101,108,Nebraska,2022
800-990,53,400-490,48,58,Nebraska,2022
600-790,6,300-390,9,12,Nebraska,2022
400-590,0,200-290,0,0,Nebraska,2022
1400-1600,103,700-800,152,116,Alaska,2022
1200-1390,583,600-690,657,476,Alaska,2022
1000-1190,907,500-590,847,944,Alaska,2022
800-990,482,400-490,422,476,Alaska,2022
600-790,56,300-390,53,118,Alaska,2022
400-590,0,200-290,0,0,Alaska,2022
1400-1600,196,700-800,234,212,Kentucky,2022
1200-1390,438,600-690,475,350,Kentucky,2022
1000-1190,368,500-590,300,398,Kentucky,2022
800-990,112,400-490,100,144,Kentucky,2022
600-790,9,300-390,14,19,Kentucky,2022
400-590,0,200-290,0,0,Kentucky,2022
1400-1600,4921,700-800,5675,5415,Virginia,2022
1200-1390,11525,600-690,13723,9357,Virginia,2022
1000-1190,17365,500-590,16151,17344,Virginia,2022
800-990,10948,400-490,9446,11368,Virginia,2022
600-790,1802,300-390,1544,3032,Virginia,2022
400-590,33,200-290,55,78,Virginia,2022
